date	deaths	injuries	location	description
2012-12-24T05:00:00.000Z	4	3	Webster, New York	2012 Webster shooting: A man set fire to his home and the family car before opening fire on responding firefighters, two were killed and three wounded before he committed suicide, a fourth body was found in the house.[106]
2013-01-19T05:00:00.000Z	5	0	South Valley, New Mexico	2013 South Valley homicides: A fifteen-year-old murdered his parents and three siblings in their home. He was arrested by police.[105]
2013-02-03T05:00:00.000Z	5	7	Orange, Los Angeles and Riverside counties, California	Christopher Dorner shootings and manhunt: A man travelled across three counties during nine days, killing four people and injuring others. Four more people were injured by police. The man then died during a standoff with officers.[104]
2013-06-07T04:00:00.000Z	6	5	Santa Monica, California	2013 Santa Monica shooting: A man killed two people in a residence before lighting it on fire. He continued to shoot at people while moving towards Santa Monica College, then attempted to carjack a passing vehicle. After firing rounds at a passing bus, he ran into the college library and continued shooting. He killed five people and injured five others before being killed by police.[103]
2013-07-26T04:00:00.000Z	7	0	Hialeah, Florida	2013 Hialeah shooting: A man lit his apartment on fire and killed six other people in his apartment building before being killed by a SWAT team.[102]
2013-08-05T04:00:00.000Z	3	4	Saylorsburg, Pennsylvania	Ross Township Municipal Building shooting: A man entered a meeting of township supervisors and killed three people, injuring three others. The gunman was also injured when his gun went off and hit his own leg as two men wrestled him to the ground and took away his weapon. The shooting was suspected to be motivated by a longstanding feud in which the gunman's property rights had been taken away. He was sentenced to life in prison.[100][101]
2013-09-16T04:00:00.000Z	13	8	Washington D.C.	Washington Navy Yard shooting: A gunman entered the Naval Sea Systems Command headquarters in the Washington Navy Yard with a civilian contractor pass. He killed twelve people and injured eight before being killed by police.[99]
2013-11-01T04:00:00.000Z	1	4	Los Angeles, California	2013 Los Angeles International Airport shooting: A man entered the Los Angeles International Airport, killed a TSA agent, and wounded three other people. He was injured when shot several times by police.[98]
2014-04-02T04:00:00.000Z	4	14	Fort Hood, Texas	2014 Fort Hood shooting: After being denied leave from the Fort Hood military base where he was stationed, a man killed three people and injured fourteen before killing himself.[97]
2014-05-23T04:00:00.000Z	7	13	Isla Vista, California	2014 Isla Vista killings: Several hours after stabbing and killing his three roommates, a man drove to a sorority house near the University of California, Santa Barbara and knocked on the door. After receiving no answer, he began shooting at people nearby, killing two members of another sorority and injuring a third. He then returned to his car and continued to shoot at and ram people with his vehicle before killing himself with a gunshot.[95] The attack is believed to have been motivated by the killer's hatred of women and frustration with his dating and family life.[96]
2014-07-09T04:00:00.000Z	6	1	Spring, Texas	2014 Harris County shooting: A man is suspected of killing six of his family members and wounding a seventh. He was arrested after a brief chase and a standoff that lasted several hours.[94]
2014-10-24T04:00:00.000Z	5	1	Marysville, Washington	Marysville Pilchuck High School shooting: A fifteen-year-old killed four people and injured one other in the cafeteria of Marysville Pilchuck High School before killing himself.[93]
2014-12-12T05:00:00.000Z	0	4	Portland, Oregon	Rosemary Anderson High School shooting: A perpetrator shot and injured three students and an adult outside of the school.[92]
2014-12-15T05:00:00.000Z	6	1	Montgomery County, Pennsylvania	2014 Montgomery County shootings: Six people were found dead and one wounded in three locations across Montgomery County. The shooter was found dead the next day after committing suicide by overdose. One of the victims was the shooter's ex-wife, the others were her relatives.[91]
2015-02-26T05:00:00.000Z	8	1	Tyrone, Missouri	2015 Tyrone shooting: A man killed seven people and wounded one after going door-to-door and shooting people in four separate homes. Four of the people he killed were family members. The man then killed himself. The shooting was possibly motivated by the man finding his mother dead from natural causes.[90]
2015-05-17T04:00:00.000Z	9	18	Waco, Texas	2015 Waco shootout: Gunfire broke out at a restaurant where members of several motorcycle clubs had gathered to discuss political rights for motorcyclists. Members of the clubs and police were both involved in the gunfire. Nine people were killed and eighteen were injured in the shootout, all members of the motorcycle clubs. The shooting may have resulted from a territorial dispute between two of the motorcycle clubs.[89]
2015-06-17T04:00:00.000Z	9	1	Charleston, South Carolina	"Charleston church shooting: A white supremacist killed nine black people during a prayer service at the Emanuel African Methodist Episcopal Church, wounding one other. He was taken into custody by police, and later said that he committed the shootings in an attempt to start a ""race war"".[87][88]"
2015-07-16T04:00:00.000Z	6	2	Chattanooga, Tennessee	2015 Chattanooga shootings: A man committed a drive-by shooting at a military recruitment center in a strip mall, wounding one Marine. With police in pursuit, he drove to a U.S. Navy Reserve center and rammed his vehicle through a gate. He fatally wounded a Navy sailor, killed four Marines, and wounded a police officer before being killed by a naval commander.[85] The FBI later determined the gunman had been motivated by propaganda published by terrorist organizations.[86]
2015-07-23T04:00:00.000Z	3	9	Lafayette, Louisiana	2015 Lafayette shooting: A gunman killed two people and injured nine in a shooting at a movie theater. After trying to blend into the crowd leaving the theater, the gunman heard sirens, returned to the theater, and killed himself.[84]
2015-08-08T04:00:00.000Z	8	0	Harris County, Texas	2015 Harris County shooting: A man broke into his ex-girlfriend's home and held her hostage along with her husband and six children, one of whom was his son. Over the course of nine hours, he killed everyone in the home. After a shootout with police, he surrendered and was taken into custody.[83]
2015-08-26T04:00:00.000Z	3	1	Moneta, Virginia	Murders of Alison Parker and Adam Ward: An enraged former employee for WDBJ (Bryce Williams) carried out a preplanned shooting targeting 3 reporters, conducting a live T.V. interview near Smith Mountain Lake. Alison Parker was fatally shot, and the cameraman Adam Ward was also killed. Vicki Gardner was also shot, but survived. He fled the scene in his car then took off on foot while a massive manhunt was underway. Before police could approach Williams, he committed suicide by shooting himself. He stated that the motive was the Charleston church shooting and possible discrimination at his workplace.[82]
2015-10-01T04:00:00.000Z	10	8	Roseburg, Oregon	Umpqua Community College shooting: A student at Umpqua Community College killed nine people and injured eight others on the college campus. After being wounded by police officers, he killed himself.[81]
2015-11-23T05:00:00.000Z	0	5	Minneapolis, Minnesota	Shooting of protesters at a Black Lives Matter protest: During a Black Lives Matter protest related to the shooting of Jamar Clark, a man opened fire and injured five protestors. The perpetrator was later arrested.[80]
2015-11-27T05:00:00.000Z	3	9	Colorado Springs, Colorado	Colorado Springs Planned Parenthood shooting: A man killed two civilians and a police officer and wounded nine others inside a Planned Parenthood clinic before surrendering to police. The shootings are suspected to have been motivated by the suspect's anti-abortion views.[79]
2015-12-02T05:00:00.000Z	16	22	San Bernardino, California	2015 San Bernardino attack: A married couple opened fire on the husband's colleagues at a work training event. They killed fourteen people and injured twenty-two before being killed in a shootout with police. Pipe bombs set at their residence failed to detonate. The two perpetrators are believed to have been radicalized, though not believed to have been directly connected to a specific foreign terrorist organization.[78]
2016-02-20T05:00:00.000Z	6	2	Kalamazoo, Michigan	2016 Kalamazoo shootings: An Uber driver is suspected to have killed six people and wounded two others in a series of shootings targeting random people.[77]
2016-02-25T05:00:00.000Z	4	14	Hesston and Newton, Kansas	Hesston shooting: A man killed three people and injured fourteen others in an attack at his workplace. He had been served with a temporary order of protection shortly before he began shooting. He was killed by police who responded to the scene.[76]
2016-03-07T05:00:00.000Z	5	0	Kansas City, Kansas and Montgomery County, Missouri	2016 Kansas-Missouri murder spree: Four people were killed at a home and another was shot and killed the following day. The perpetrator was arrested the next day.
2016-03-09T05:00:00.000Z	6	3	Wilkinsburg, Pennsylvania	2016 Wilkinsburg mass shooting: Six people (including an unborn child) were killed and three were injured by two gunmen in an attack during a backyard party. One person with a handgun drove the partygoers toward a backyard porch, where the second shot at them with an assault-style rifle.[75]
2016-04-21T04:00:00.000Z	8	0	Pike County, Ohio	Pike County shootings: Eight people, all members of the same family, were killed. Bodies were found in four separate locations.[74]
2016-05-05T04:00:00.000Z	3	3	Beltsville and Bethesda, Maryland	2016 Maryland shooting spree: A federal officer shot and killed three people and injured three others in an attack that began with him killing his estranged wife.[73]
2016-06-12T04:00:00.000Z	50	53	Orlando, Florida	Orlando nightclub shooting: A gunman killed 49 people and wounded 53 others in a shooting at Pulse, a gay nightclub. The gunman was killed in a shootout with the police.[72]
2016-07-07T04:00:00.000Z	6	11	Dallas, Texas	2016 shooting of Dallas police officers: A shooter killed five police officers and wounded nine other officers and two civilians at a protest over the police shootings of Alton Sterling and Philando Castile. The shooter was killed by a bomb delivered by a remote control vehicle. He is believed to have been motivated by retribution for black men killed by police.[71]
2016-07-11T04:00:00.000Z	3	2	St. Joseph, Michigan	St. Joseph courthouse shooting: A handcuffed inmate killed two bailiffs and injured a deputy and another woman after taking a deputy's gun in a courthouse. The inmate was killed by two other bailiffs.[70]
2016-07-17T04:00:00.000Z	4	3	Baton Rouge, Louisiana	2016 shooting of Baton Rouge police officers: A gunman killed three law enforcement officers and injured three others. The gunman was killed by a member of the SWAT team that responded to the shooting. The shooting is believed to have been related to the unrest in Baton Rouge following the shooting of Alton Sterling, and the gunman was involved with black separatist and sovereign citizen organizations.[68][69]
2016-07-30T04:00:00.000Z	3	1	Mukilteo, Washington	2016 Mukilteo shooting: A student at the University of Washington killed three people and injured one other in a shooting at a party. One of the people he killed was his ex-girlfriend. The shooter was arrested and sentenced to life in prison.[67]
2016-08-20T04:00:00.000Z	6	0	Citronelle, Alabama	2016 Citronelle homicides: A man killed six people (including an unborn child) while they were sleeping in a home. He was arrested by police.[66]
2016-09-23T04:00:00.000Z	5	0	Burlington, Washington	Cascade Mall shooting: A man killed five people at the Cascade Mall. He was arrested a day later. The shooter later killed himself while in jail.[65]
2016-09-28T04:00:00.000Z	2	3	Townville, South Carolina	Townville Elementary School shooting: A fourteen-year-old shot and killed his father before driving to the local elementary school and injuring three students and a teacher. One student later died of his injuries. The shooter was later arrested.[64]
2017-01-06T05:00:00.000Z	5	6	Broward County, Florida	Fort Lauderdale airport shooting: A man killed five people and injured six in a shooting at Fort Lauderdale–Hollywood International Airport before running out of ammunition and laying on the ground to surrender to police. Thirty to forty other people were also hurt, with injuries not directly caused by gunfire.[63]
2017-03-22T04:00:00.000Z	5	0	Schofield and Rothschild, Wisconsin	2017 Schofield/Rothschild shootings: A man demanded his wife sign divorce papers and after a confrontation, returned to her place of work and shot and killed four people before being killed by the police.[62]
2017-03-26T04:00:00.000Z	2	16	Cincinnati, Ohio	Cincinnati nightclub shooting: Two men were killed and sixteen people were wounded after a fight escalated into a shooting at a crowded nightclub. One person was arrested.[61]
2017-04-10T04:00:00.000Z	3	1	San Bernardino, California	North Park Elementary School shooting: A man entered an elementary school, telling school administrators he needed to drop something off for his wife. He entered the classroom where she was teaching and killed her, also killing a student and wounding another who were standing nearby. He then killed himself.[60]
2017-04-13T04:00:00.000Z	4	0	Fresno, California	2017 Fresno shootings: A man killed a security guard at a hotel, then killed three other people five days later. The attacks, committed against white people by a black suspect, are believed to have been racially motivated and the suspect believed there was a race war taking place between white and black people. He was taken into custody by police.[59]
2017-05-12T04:00:00.000Z	4	0	Kirkersville, Ohio	Kirkersville shooting: After taking two people hostage, a man shot and killed a police officer and two nurses at a nursing home before he killed himself.
2017-05-27T04:00:00.000Z	8	1	Lincoln County, Mississippi	2017 Mississippi shootings: A man killed eight people, including several family members and a sheriff's deputy, at three separate houses. He was injured by police and then arrested. The shooter later said he had intended to commit suicide by cop.[58]
2017-06-05T04:00:00.000Z	6	0	Orlando, Florida	Orlando factory shooting: A former employee entered the factory through a rear exit and killed five employees and then himself.[57]
2017-06-06T04:00:00.000Z	3	2	Sandy, Utah	Sandy, Utah attack: A man rammed a vehicle containing his ex-girlfriend, three children and one other adult, opened fire, killing two and wounding two, then committed suicide.[56]
2017-06-08T04:00:00.000Z	4	0	Eaton Township, Pennsylvania	Eaton Township Weis Markets shooting: An employee of a Weis Markets supermarket who was working a night shift barricaded the exits and killed three coworkers before killing himself.[55]
2017-06-14T04:00:00.000Z	4	5	San Francisco, California	San Francisco UPS shooting: A gunman entered his workplace and singled out coworkers, killing three and wounding five, before committing suicide.[53]
2017-06-14T04:00:00.000Z	1	6	Alexandria, Virginia	2017 Congressional baseball shooting: A gunman shot and wounded four people, including Republican Congressman and House Majority Whip Steve Scalise, while they were practicing for the Congressional Baseball Game. Two others were also injured in other ways. The gunman was killed after being engaged by Capitol police officers assigned to protect Scalise and by police officers responding to the scene.[54]
2017-06-30T04:00:00.000Z	2	6	New York City, New York	Bronx-Lebanon Hospital attack: A former hospital employee killed a doctor and wounded six others before he committed suicide.
2017-07-01T04:00:00.000Z	0	28	Little Rock, Arkansas	Little Rock nightclub shooting: Twenty-eight people were injured (twenty-five directly by gunfire) when shooting broke out in a nightclub where rapper Finese 2Tymes was performing.[52]
2017-08-28T04:00:00.000Z	2	4	Clovis, New Mexico	Clovis library shooting: A sixteen-year-old killed two people and wounded four others at a public library before surrendering to police.[51]
2017-09-10T04:00:00.000Z	9	1	Plano, Texas	2017 Plano shooting: A man entered his ex-wife's home while she was hosting a football-watching party and killed her and seven others, and wounded one other. He was killed by police.[50]
2017-09-24T04:00:00.000Z	1	8	Antioch, Tennessee	Burnette Chapel shooting: A man killed a woman outside the Burnette Chapel Church of Christ before entering the chapel and wounding seven others. During a struggle with an usher, the man shot himself in the chest. The usher ran to his car to get his own pistol and held the man at gunpoint until police arrived to arrest him.[49]
2017-10-01T04:00:00.000Z	61	411	Las Vegas, Nevada	2017 Las Vegas shooting: A man on the 32nd floor of a hotel opened fire on a country music festival happening outside, killing 60 people and injuring 867 others, with 411 of them suffering from gunshot wounds. The man then shot himself.[44][45][46][47][48]
2017-11-05T04:00:00.000Z	27	20	Sutherland Springs, Texas	Sutherland Springs church shooting: A gunman approached the First Baptist Church in Sutherland Springs and killed two people outside before entering and shooting at the congregation, killing 26 people (including an unborn child) and injuring twenty. He was confronted by a local man with a gun, and they exchanged gunfire before entering a vehicle. The man flagged down another person and they began a high-speed chase of the gunman, which ended when the gunman went off the road and was found dead from a self-inflicted gunshot wound.[42][43]
2017-11-13T05:00:00.000Z	6	12	Tehama County, California	Rancho Tehama Reserve shootings: A man killed his wife and hid her body under the floorboards of their home before killing two neighbors, firing at random at people, and then ramming his truck through the gates of an elementary school and firing at those inside. He then drove away and targeted other random victims before being rammed by police and shooting himself. He killed five people and injured twelve others (some with bullet wounds, others were injured by flying glass) before committing suicide.[41]
2017-12-07T05:00:00.000Z	3	0	Aztec, New Mexico	Aztec High School shooting: A man walked into Aztec High School disguised as a student and killed two before killing himself.
2017-12-31T05:00:00.000Z	2	6	Highlands Ranch, Colorado	"Copper Canyon Apartment Homes shooting: After being called to a home for a report of a disturbance, five police officers were shot in an ""ambush-style"" attack. One officer was killed and the other four were wounded. Two other people were also wounded in a neighboring apartment. Officers later re-entered the apartment with a SWAT team and killed the suspect; another officer was injured in this exchange.[40]"
2018-01-23T05:00:00.000Z	2	16	Benton, Kentucky	Marshall County High School shooting: A fifteen-year-old student killed two other students and injured sixteen others before discarding his weapon and attempting to hide among other students. He was apprehended by police.[39]
2018-01-28T05:00:00.000Z	5	1	Melcroft, Pennsylvania	Melcroft shooting: A man shot and killed four people and wounded one other at a gas station before he committed suicide.
2018-02-14T05:00:00.000Z	17	17	Parkland, Florida	Stoneman Douglas High School shooting: A former student of Marjory Stoneman Douglas High School entered the school, killed seventeen people, and wounded seventeen others. He was taken into custody by police.[37][38]
2018-03-09T05:00:00.000Z	5	0	Yountville, California	Yountville shooting: A man entered the Veterans Home of California and held three staff members hostage. He killed the three staff members (and the unborn child of one of the staff members, who was pregnant) before killing himself in a murder–suicide.[36]
2018-04-03T04:00:00.000Z	1	4	San Bruno, California	YouTube headquarters shooting: A woman approached an outdoor patio at YouTube Headquarters and wounded three people before committing suicide, a fourth person was injured in the evacuation.[35]
2018-04-22T04:00:00.000Z	4	2	Nashville, Tennessee	Nashville Waffle House shooting: A gunman entered a Waffle House, where he killed four people and injured two others. He was later taken into custody.[34]
2018-05-18T04:00:00.000Z	10	14	Santa Fe, Texas	Santa Fe High School shooting: A student at Santa Fe High School shot and killed ten people and wounded fourteen others. Explosive devices were also found, but they were not detonated. The suspect was taken into custody by police.[33]
2018-05-30T04:00:00.000Z	7	0	Scottsdale, Arizona	2018 Scottsdale shootings: Over the course of several days, a man killed a forensic psychiatrist, two paralegals, a counselor, and a couple from whom he took a handgun. The suspect killed himself when police began closing in on him.[31][32]
2018-06-17T04:00:00.000Z	1	22	Trenton, New Jersey	Art All Night shooting: Several gunmen wounded seventeen people at the Art All Night festival. Five others were wounded when they were trampled by people around them. One of the suspected gunmen was shot and killed by police. Police suspect the shooting was gang-related.[30]
2018-06-28T04:00:00.000Z	5	2	Annapolis, Maryland	Capital Gazette shooting: A gunman entered the offices of The Capital Gazette and killed five employees and wounded two others.[28][29]
2018-08-26T04:00:00.000Z	3	11	Jacksonville, Florida	Jacksonville Landing shooting: A gunman killed two people and wounded eleven more (nine with gunshot wounds) at a Madden NFL 19 competition before killing himself. The shooter was identified as David Katz, an individual who had reportedly been eliminated from the competition before the shooting.[25][26][27]
2018-09-06T04:00:00.000Z	4	2	Cincinnati, Ohio	Fifth Third Center shooting: A gunman entered a loading dock at the Fifth Third Center skyscraper and opened fire before entering the lobby of a building. Four people, including the shooter, were killed and two were injured.[24]
2018-09-20T04:00:00.000Z	4	3	Aberdeen, Maryland	Aberdeen shooting: An employee of the Rite Aid Distribution facility killed three victims before wounding herself. The shooter died later in the hospital.[23]
2018-10-03T04:00:00.000Z	2	10	Florence, South Carolina	Florence shooting: Officers were shot at during a two-hour standoff while attempting to execute a search warrant. The perpetrator held children hostage, killing one and wounding seven before being arrested.[22]
2018-10-27T04:00:00.000Z	11	7	Pittsburgh, Pennsylvania	Pittsburgh synagogue shooting: A man opened fire in the Tree of Life synagogue in an antisemitic attack, killing eleven people and injuring six others (including four police officers). The suspect was taken into custody by police.[20][21]
2018-11-02T04:00:00.000Z	3	5	Tallahassee, Florida	2018 Tallahassee shooting: A man entered a yoga studio and killed two women and injured five others; four by gunshots and one by pistol-whipping, before committing suicide.[19]
2018-11-07T05:00:00.000Z	13	12	Thousand Oaks, California	Thousand Oaks shooting: A man entered a bar hosting a student line-dancing event and killed twelve people, including a police officer. At least twelve other people were injured. The gunman then killed himself.[18]
2018-11-11T05:00:00.000Z	1	4	Robbins, Illinois	Shooting of Jemel Roberson: A man re-entered a bar after being ejected and began to fire, wounding three people and becoming injured himself. Armed security guards apprehended the suspect. Responding officers saw one of the security guards with a gun, and shot and killed him.[17]
2018-11-19T05:00:00.000Z	4	0	Chicago, Illinois	Mercy Hospital shooting: A gunman opened fire in the Mercy Hospital and Medical Center in Chicago, killing a doctor at the hospital who was his former fiancée, a police officer, and one other person before being killed either by himself or by police.[16]
2019-01-23T05:00:00.000Z	5	0	Sebring, Florida	2019 Sebring shooting: Five people were killed in a hostage incident and shooting at a bank. The suspect was taken into custody by police.[15]
2019-01-26T05:00:00.000Z	5	0	Ascension and Livingston Parish, Louisiana	January 2019 Louisiana shootings: A 21-year-old man killed five people, including his parents, in two parishes in Louisiana.[14]
2019-02-15T05:00:00.000Z	6	6	Aurora, Illinois	Aurora, Illinois, shooting: A 45-year-old man opened fire at a Henry Pratt Company plant and killed five people and injured six others. He was a former worker at the plant and he was killed in a shootout with police.
2019-04-27T04:00:00.000Z	1	3	Poway, California	Poway synagogue shooting: One person was killed and at least three were wounded by a shooter at the Chabad of Poway synagogue.[13]
2019-04-30T04:00:00.000Z	2	4	Charlotte, North Carolina	University of North Carolina at Charlotte shooting: Six people were shot, two fatally, on the last day of classes at the University of North Carolina at Charlotte. The student gunman was taken into custody after he ran out of ammunition.[12]
2019-05-07T04:00:00.000Z	1	8	Highlands Ranch, Colorado	STEM School Highlands Ranch shooting: A school shooting was reported at STEM School Highlands Ranch, around 1:50 p.m, two shooters targeted separate locations and killed one student and injured eight more before being arrested.[11]
2019-05-31T04:00:00.000Z	13	5	Virginia Beach, Virginia	2019 Virginia Beach shooting: A gunman killed 12 people and injured four others at a municipal building. The gunman died at the scene.[10]
2019-07-28T04:00:00.000Z	4	15	Gilroy, California	Gilroy Garlic Festival shooting: A gunman killed 3 people, including one 6-year-old boy, attending Gilroy's annual Garlic Festival; 12 more people were injured. The shooter killed himself.
2019-08-03T04:00:00.000Z	23	23	El Paso, Texas	2019 El Paso shooting: A gunman killed 23 people and injured 23 others at a Walmart. The attack was a hate crime targeting Hispanic immigration. The gunman was arrested.
2019-08-04T04:00:00.000Z	10	27	Dayton, Ohio	2019 Dayton shooting: Nine people were killed and 27 were injured outside of a bar. The perpetrator was killed by police.
2019-08-31T04:00:00.000Z	8	25	Midland–Odessa, Texas	2019 West Texas shooting: Seven people were killed and twenty five others were injured on the Interstate 20. The suspect was killed after a shoot-out with police.
2019-10-31T04:00:00.000Z	5	4	Orinda, California	Orinda Halloween Shooting: An overnight block party attended by over 100 people ended with five people killed, and four more wounded by gunfire.
2019-11-14T05:00:00.000Z	3	3	Santa Clarita, California	Saugus High School shooting: Two people were killed and three others were injured at Saugus High School. The gunman then eventually committed suicide.
2019-11-17T05:00:00.000Z	4	6	Fresno, California	2019 Fresno shooting: Ten people were shot, four fatally, at a football watch party.
2019-12-05T05:00:00.000Z	4	1	Miramar, Florida	2019 Miramar shootout: Two suspects robbed a jewelry store and then fatally shot 2 people, including a UPS truck driver which was his 1st day at his job. Both suspects were killed by police.
2019-12-06T05:00:00.000Z	4	8	Pensacola, Florida	Naval Air Station Pensacola shooting: 3 people were killed and 8 others were injured at a US Navy base. The suspect was killed by police.
2019-12-10T05:00:00.000Z	6	3	Jersey City, New Jersey	2019 Jersey City shooting: An officer approached a vehicle suspected of being used in a murder previously, he was shot and killed. In the resulting suspect chase and police confrontation the two suspects were killed, along with three other civilians, a civilian and two cops were wounded as well.
2020-01-17T05:00:00.000Z	4	1	Grantsville, Utah	Shooting of Haynie family: Four members of a family were killed and one was injured after a teenager fired at his family as they returned home.
2020-02-26T05:00:00.000Z	6	0	Milwaukee, Wisconsin	Milwaukee brewery shooting: Five people were killed when a gunman opened fire at the local Molson Coors Beverage Company campus, where he had been employed. Afterwards, the gunman committed suicide.
2020-09-19T04:00:00.000Z	2	14	Rochester, New York	Rochester shooting: Two people were killed and fourteen injured after a shooting at a party in Rochester.
