date	deaths	injuries	location	description
1980-06-22T04:00:00.000Z	5	11	Daingerfield, Texas	Daingerfield church shooting: The perpetrator killed five people and wounded ten others after they had declined to be character witnesses in the trial of him raping his daughter.
1981-05-07T04:00:00.000Z	5	18	Salem, Oregon	Oregon Museum Tavern shooting: The perpetrator entered the location and fired, killing five people and injuring eighteen before he was wrestled to the ground.
1982-05-03T04:00:00.000Z	4	0	Anchorage, Alaska	Russian Jack Springs Park shooting: A schizophrenic man left a psychiatric hospital on a day pass and killed four teenagers in a park before being arrested.
1982-08-20T04:00:00.000Z	8	3	Miami, Florida	Welding shop shooting: A teacher opened fire inside a welding shop, killing eight people and injuring three before attempting to flee by bicycle; he was run down as he cycled away.
1982-09-25T04:00:00.000Z	13	1	Wilkes-Barre, Pennsylvania and Jenkins Township, Pennsylvania	Murders by George Banks: The perpetrator used an AR-15 to shoot and kill thirteen people and injure one in his home and the home of a former girlfriend. A four-hour standoff occurred before officers were able to arrest and hold him on several charges.[154]
1983-02-19T05:00:00.000Z	13	1	Seattle, Washington	Wah Mee massacre: Three perpetrators entered a gambling club at the Louisa Hotel during a robbery and killed thirteen people and wounded one in an attempt to leave no witnesses.[153]
1984-02-24T05:00:00.000Z	3	12	Los Angeles, California	49th Street Elementary School shooting: The perpetrator fired on children in a school playground from his home across the street, and killed two individuals and injured twelve others before committing suicide.
1984-04-15T05:00:00.000Z	10	0	New York City, New York	Palm Sunday massacre: During a believed home invasion ten people—three adults, one teenager, and six children—were killed. An infant was left unharmed.[152]
1984-07-18T04:00:00.000Z	22	19	San Diego, California	San Ysidro McDonald's massacre: A male suspect entered a busy McDonald's and opened fire with an Uzi, shotgun and semiautomatic pistol, and killed twenty-one people and injured nineteen before being killed by a police sniper.
1984-12-22T05:00:00.000Z	0	4	New York City, New York	1984 New York City subway shooting: Four teenagers were shot and wounded by the perpetrator on a New York subway train.[151]
1985-10-18T04:00:00.000Z	0	6	Detroit, Michigan	Murray-Wright High School shooting: During half-time at a football game, the perpetrator opened fire with a shotgun on individuals that he had earlier fought with and wounded six.
1985-10-30T05:00:00.000Z	3	7	Springfield, Pennsylvania	Springfield Mall shooting: The perpetrator fired first at customers outside the Springfield Mall, and then moved inside and killed 3 and wounded 7 before she was disarmed.[150]
1986-08-20T04:00:00.000Z	15	6	Edmond, Oklahoma	Edmond post office shooting: A part-time employee entered to begin his day before locking the doors and killing fourteen coworkers and injuring six others before committing suicide.
1987-12-07T05:00:00.000Z	43	0	Cayucos, California	Pacific Southwest Airlines Flight 1771 (1987) The perpetrator David Burke entered the cockpit of Pacific Southwest Airlines Flight 1771 and killed the pilot and co-pilot as well as shooting three other people before crashing the plane and killing all forty-three passengers and crew on board.
1987-12-22T05:00:00.000Z	16	4	Dover and Russelville, Arkansas	Murders by Ronald Gene Simons: The perpetrator murdered sixteen friends and family—eight by gunfire, seven by strangulation, and one by drowning—and wounded four others before being arrested.[149]
1988-02-16T05:00:00.000Z	7	4	Sunnyvale, California	ESL shooting: After stalking his coworker, the perpetrator entered the ESL building with several weapons and shot at employees and bystanders, killing seven people and wounding four before surrendering to police and SWAT officers.[148]
1988-05-20T04:00:00.000Z	2	6	Winnetka, Illinois	Attacks by Laurie Dann: The perpetrator entered the Hubbard Woods Elementary School and killed one student and wounded five others before entering a home and holding the inhabitants hostage before committing suicide.
1988-07-17T04:00:00.000Z	4	6	Winston-Salem, North Carolina	Old Salisbury Road shooting: The perpetrator shot nine passers-by from the center line on the road, killing four and injuring five before being arrested.
1988-09-26T04:00:00.000Z	2	9	Greenwood, South Carolina	Oakland Elementary School shooting: The perpetrator shot and killed two eight-year-old students and wounded nine others (seven students, a teacher, and a gym coach) in the school's cafeteria and a classroom before being arrested. He was sentenced to death.
1989-01-17T05:00:00.000Z	6	32	Stockton, California	Cleveland Elementary School shooting: A drifter used an semi-automatic rife to kill five children and wound thirty-two other students and teachers on the school playground before committing suicide.
1989-09-14T04:00:00.000Z	9	12	Louisville, Kentucky	Standard Gravure shooting (1989): A 47-year-old pressman killed eight people and injured twelve at his former workplace, Standard Gravure, before committing suicide
1990-02-10T05:00:00.000Z	4	3	Las Cruces, New Mexico	Las Cruces bowling alley massacre: Two unknown perpetrators entered the bowling alley and killed four people and injured three before fleeing. The case is still unsolved.
1990-06-17T04:00:00.000Z	12	6	Jacksonville, Florida	GMAC Office shooting: A convicted felon returned to the loan office he had used to purchase a car and opened fire, killing eleven people and injuring six before committing suicide.
1990-08-09T04:00:00.000Z	9	0	Waddell, Arizona	Arizona Buddhist Temple shooting: Nine men were robbed and killed in a Buddhist temple, with the perpetrator remaining un-convicted until 2014.[147]
1991-04-04T05:00:00.000Z	6	14	Sacramento County, California	Sacramento Hostage Crisis: For eight hours forty-one people were held hostage inside an electronics store, by four Vietnamese refugees who killed three and injured 14. Three of the four perpetrators were shot and killed by responding police.[146]
1991-10-16T04:00:00.000Z	24	27	Kileen, Texas	Killeen, Texas, Luby's Restaurant shooting: A former Merchant Marine drove his vehicle through the front window of the restaurant before opening fire on a crowd of about eighty people, killing twenty-three and injuring twenty-seven before committing suicide.
1991-11-01T05:00:00.000Z	6	1	Iowa City, Iowa	University of Iowa shooting: A former graduate student attended a meeting for a research group before opening fire and killied five individuals and injured one before committing suicide.
1991-12-06T05:00:00.000Z	4	0	Austin, Texas	1991 Austin Yogurt Shop murders: Four teenage girls aged; 13, 15, 17, and 17-years-old were shot and killed execution style after being stripped and bound with their own clothes, the store was also robbed and set on fire.[145]
1992-05-01T04:00:00.000Z	4	10	Olivehurst, California	Lindhurst High School Shooting and Hostage Situation (1992): A 20-year old past student opened fire on a classroom and killed four people, wounded ten others, and held eighty people hostage during an eight-hour siege before he surrendered.
1992-12-14T05:00:00.000Z	2	4	Great Barrington, Massachusetts	Bard College shooting: The perpetrator had been stockpiling ammunition and weapons in his dorm, and after several alarms had been raised by third parties, he opened fire and killed a professor and student and wounded four others.[144]
1993-01-08T05:00:00.000Z	7	0	Palatine, Illinois	Brown's Chicken Massacre: Two robbers entered a Brown's Chicken restaurant and murdered seven employees. The two were arrested and convicted in 2007 and 2009.[143]
1993-01-25T05:00:00.000Z	2	3	Langley, Virginia	CIA Headquarters shooting: A Pakistani national fired an AK-47 style weapon at a line of cars waiting at red light to turn into the main entrance of the CIA Headquarters. He was captured in 1997.[142]
1993-07-01T04:00:00.000Z	9	6	San Francisco, California	101 California Street shooting: The perpetrator opened fire in an office building killed eight people and wounded six others before committing suicide.
1993-12-07T05:00:00.000Z	6	19	Garden City, New York	Long Island Rail Road shooting: A passenger opened fire on other passengers and killed six and wounded nineteen before being subdued by three passengers and arrested.
1993-12-14T05:00:00.000Z	4	1	Aurora, Colorado	Aurora, Colorado, Chuck E. Cheese shooting: The perpetrator shot and killed four employees and injured one in revenge for being fired from the restaurant.
1994-06-20T04:00:00.000Z	5	22	Fairchild Air Force Base, Washington	Fairchild Air Force Base shooting: A former airman who had been discharged returned to the base hospital and killed four people and injured twenty-two people before being shot and killed by responding police.
1994-11-07T05:00:00.000Z	1	3	Wickliffe, Ohio	Wickliffe Middle School shooting: A 37-year-old former student entered the building and shot and killed the custodian and wounded three other adults before he was arrested.[141]
1996-02-02T05:00:00.000Z	3	1	Moses Lake, Washington	Frontier Middle School shooting: A student shot and killed a teacher and two students and wounded another before being arrested.[140]
1997-02-19T05:00:00.000Z	2	2	Bethel, Alaska	Bethel Regional High School shooting: A student shot and killed two people and wounded two others before surrendering to police. He was reportedly assisted by several students in learning how to shoot, and many knew about the shooting plans in advance.
1997-10-01T04:00:00.000Z	3	7	Pearl, Mississippi	Pearl High School shooting: The perpetrator shot and killed his mother, then drove to the high school and shot and killed two students and injured seven before being arrested.
1997-12-01T05:00:00.000Z	3	5	West Paducah, Kentucky	Heath High School shooting: A 14-year-old student opened fire on a group of students praying before the school opened, killing three and injuring five before surrendering.[139]
1998-03-24T05:00:00.000Z	5	10	Craighead County, Arkansas	Westside Middle School shooting: Two students aged 11 and 13, shot and killed four students and a teacher and injured ten others before being arrested.
1998-04-24T04:00:00.000Z	1	4	Edinboro, Pennsylvania	Parker Middle School dance shooting: A 14-year-old student opened fire and fatally shot a teacher and injured another and two students during an 8th grade dance, before being arrested.[138]
